date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,differ
7,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4,z
7,84,74,94,75,93,66,104,1924,1894,0,0.16,5.43,z
7,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29,z
7,82,72,91,75,93,66,101,1910,2009,0.48,0.15,3.49,z
7,82,73,90,75,93,66,102,1924,2009,0.31,0.16,3.04,z
7,81,72,89,75,93,63,101,1970,2005,0.01,0.15,1.73,z
7,84,74,93,75,93,62,100,1972,1980,0.08,0.15,2.32,z
7,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49,z
7,85,74,95,75,93,64,102,1905,1980,0,0.14,2.39,z
7,83,73,93,75,93,65,101,1893,1980,0,0.14,1.75,z
7,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08,z
7,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19,z
7,87,77,96,75,94,66,102,1895,1980,0,0.13,5.4,z
7,86,76,96,75,94,62,103,1990,1980,0,0.12,2.94,z
7,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32,z
7,82,73,90,75,94,66,104,1895,1980,0,0.12,2.04,z
7,83,76,89,75,94,67,104,1974,1980,0.39,0.1,2.23,z
7,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85,z
7,79,72,85,75,94,68,102,1974,1980,0,0.11,1.51,z
7,83,73,93,75,94,69,102,1970,2000,0.01,0.11,2.08,z
7,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09,z
7,87,77,96,75,94,67,101,1988,2000,0,0.1,2.78,z
7,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36,z
7,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09,z
7,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74,z
7,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35,z
7,87,77,97,75,95,66,101,1902,1995,0,0.1,5.22,z
7,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52,z
7,83,74,92,75,95,64,101,1994,1907,0.03,0.1,4.7,z
7,83,72,94,75,95,68,102,1994,1914,0,0.09,2.11,z
7,84,73,94,75,95,67,103,1936,1998,3.91,0.09,3.91,z
8,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1,z
8,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65,z
8,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77,z
8,83,73,92,75,95,63,102,1976,1951,0,0.11,2.94,z
8,83,74,92,75,95,64,103,1976,1964,0,0.1,2.81,z
8,85,75,94,75,95,64,101,1891,1947,0,0.11,1.2,z
8,87,79,95,75,95,63,104,1891,2003,0,0.11,2.61,z
8,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66,z
8,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83,z
8,86,78,94,75,95,62,104,1989,1962,0,0.11,2.88,z
8,86,75,97,75,95,65,102,1989,2011,0.25,0.1,2.72,z
8,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41,z
8,84,73,94,75,95,64,104,2004,1962,0,0.11,1.82,z
8,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8,z
8,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74,z
8,89,80,98,75,95,63,102,2004,1925,0,0.12,3.95,z
8,88,78,97,75,95,60,104,1992,1909,0,0.12,3.57,z
8,86,76,96,75,95,62,108,1992,1909,0,0.13,6.69,z
8,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85,z
8,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8,z
8,87,76,98,75,94,63,106,1940,1909,0,0.13,2,z
8,87,75,98,75,94,64,106,1976,1980,0,0.13,3.25,z
8,87,75,98,75,94,64,107,1973,1980,0,0.13,2.46,z
8,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48,z
8,87,76,97,75,94,55,103,1891,1924,0,0.13,1.9,z
8,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66,z
8,85,75,94,74,94,59,109,1891,2011,0,0.14,8.32,z
8,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88,z
8,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89,z
8,84,75,92,74,93,62,104,1986,2000,0,0.15,2.56,z
8,79,74,84,74,93,62,107,1893,2000,0.83,0.16,5.98,z
9,84,74,93,74,93,63,107,1915,2000,0.36,0.15,2.22,z
9,85,76,94,73,93,60,104,1893,2000,0,0.14,1.81,z
9,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2,z
9,85,76,93,73,92,59,109,1974,2000,0,0.14,2.75,z
9,84,75,93,73,92,55,108,1891,2000,0.03,0.14,2.07,z
9,85,75,95,73,92,56,99,1974,1909,0.16,0.14,2.9,z
9,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55,z
9,82,72,92,72,92,58,100,1988,1907,0,0.15,0.87,z
9,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22,z
9,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82,z
9,87,76,97,71,91,56,99,1907,1893,0,0.15,4.81,z
9,82,75,89,71,91,56,101,1907,1909,0.02,0.15,2.25,z
9,72,67,77,71,90,56,102,1907,2011,0.01,0.15,7.73,z
9,71,65,77,70,90,55,100,1940,2011,0,0.15,4.11,z
9,80,68,92,70,90,55,98,1892,1980,0,0.14,3.23,z
9,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72,z
9,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85,z
9,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53,z
9,79,73,84,69,89,51,97,1981,1995,0.2,0.12,6.92,z
9,81,73,89,69,89,54,99,1901,1999,0,0.13,7.66,z
9,82,73,91,68,88,53,100,1983,2005,0,0.13,3.07,z
9,83,72,93,68,88,49,100,1983,2005,0,0.12,3.14,z
9,74,64,84,68,88,49,96,1999,1993,0,0.13,2.37,z
9,75,64,85,67,88,48,95,1975,2013,0,0.13,2.22,z
9,74,68,80,67,87,50,99,1994,2005,0,0.13,3.05,z
9,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86,z
9,79,71,86,66,87,45,100,1942,2005,0,0.13,3.46,z
9,81,72,89,66,87,48,98,1909,1998,0,0.13,1.25,z
9,80,70,89,66,86,47,96,1908,2011,0,0.12,2.51,z
9,80,71,89,65,86,47,95,1890,1998,0,0.13,2.55,z
10,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62,z
10,82,71,93,65,86,47,97,1984,1938,0.78,0.16,2.25,z
10,74,63,84,65,85,45,95,1975,1994,0.32,0.17,3.24,z
10,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6,z
10,69,53,85,64,85,41,94,1975,2006,0,0.17,2.9,z
10,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42,z
10,78,65,90,63,84,46,95,1889,1956,0,0.17,5.76,z
10,80,69,90,63,84,42,96,1952,1962,0.06,0.17,2.07,z
10,79,68,90,63,84,40,93,1976,1962,0,0.17,3.6,z
10,83,75,91,63,84,43,95,1908,1962,0.03,0.17,3.5,z
10,76,66,85,62,83,44,94,1990,1962,0.02,0.18,3.02,z
10,76,65,87,62,83,42,96,1977,1991,0.35,0.18,3.37,z
10,72,59,85,62,83,36,94,1977,1991,0.61,0.18,2.55,z
10,67,54,79,61,83,40,92,1977,1954,0,0.19,4.91,z
10,68,51,84,61,82,40,92,1978,1947,0,0.2,4.87,z
10,72,57,87,61,82,41,92,1893,1989,0,0.21,5.17,z
10,73,60,86,61,82,40,93,1977,1895,0,0.2,4.31,z
10,75,63,86,60,82,39,96,1978,1895,0.5,0.21,4.04,z
10,72,62,81,60,81,36,94,1989,2004,0,0.21,1.23,z
10,71,59,83,60,81,32,93,1989,2004,0,0.2,2.54,z
10,69,55,82,60,81,33,93,1976,2004,0,0.21,2.4,z
10,72,61,82,59,80,41,91,1898,2004,0,0.2,3.7,z
10,69,58,80,59,80,40,91,1996,1988,0,0.2,3.79,z
10,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13,z
10,70,55,85,59,80,39,91,1980,1950,0,0.2,9.25,z
10,71,56,85,58,79,39,92,1892,2010,0,0.2,2.43,z
10,72,58,86,58,79,36,94,1898,2010,0,0.18,2.72,z
10,73,60,86,58,79,36,90,1898,1991,0,0.18,8.04,z
10,73,61,84,57,78,39,90,1910,1991,0,0.18,2.45,z
10,67,55,79,57,78,33,89,1917,2004,0,0.17,5.3,z
10,67,55,79,57,78,29,88,1993,2004,0,0.16,3.84,z
11,55,45,65,57,77,35,89,1993,2010,0,0.15,6.25,z
11,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58,z
11,67,53,80,56,77,30,87,1999,1992,0,0.15,3.09,z
11,72,62,82,56,76,28,89,1991,1988,0,0.16,3.2,z
11,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22,z
11,62,58,66,55,76,36,88,1993,1963,0.17,0.15,1.67,z
11,57,49,65,55,75,29,88,1993,2002,0,0.15,1.46,z
11,63,50,75,55,75,34,89,1991,1989,0,0.15,1.47,z
11,60,47,72,54,75,29,88,1991,1969,0,0.15,3.08,z
11,63,45,80,54,74,30,88,1977,1988,0,0.15,2.85,z
11,60,49,71,54,74,32,87,1977,1978,0.01,0.16,1.88,z
11,51,43,58,53,74,32,85,1987,2003,0,0.15,4.68,z
11,41,36,45,53,73,29,86,1907,2005,0.2,0.14,4.53,z
11,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4,z
11,48,43,53,52,73,25,88,1969,1978,0.3,0.14,2.8,z
11,50,42,57,52,72,25,85,1970,1948,0.65,0.14,3.03,z
