date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,differ,city
7,81,72,89,68,83,52,100,1943,1901,0,0.12,2.17,x,NY
7,82,72,91,68,83,56,100,2001,1966,0.96,0.13,1.79,x,NY
7,78,69,87,68,83,54,103,1933,1966,1.78,0.12,2.8,x,NY
7,70,65,74,68,84,55,102,1986,1949,0.14,0.13,1.76,x,NY
7,72,63,81,68,84,53,101,1979,1999,0,0.12,3.07,x,NY
7,75,66,84,68,84,54,103,1979,2010,0,0.13,1.97,x,NY
7,81,72,90,68,84,56,100,1914,2010,0.04,0.13,3.13,x,NY
7,81,71,91,69,84,56,100,1894,1993,0.39,0.14,1.8,x,NY
7,80,71,88,69,84,54,106,1963,1936,0.09,0.14,1.09,x,NY
7,78,72,83,69,84,55,102,1890,1993,0,0.15,1.79,x,NY
7,79,71,86,69,84,57,98,1898,1988,0,0.15,1.94,x,NY
7,78,71,85,69,84,57,99,1926,1966,0,0.15,2.68,x,NY
7,78,72,83,69,84,54,101,1888,1966,0.03,0.17,3.16,x,NY
7,78,72,84,69,84,58,100,1926,1954,0.46,0.16,1.6,x,NY
7,79,72,86,69,84,57,102,1930,1995,1.3,0.15,2.33,x,NY
7,75,68,81,69,84,56,99,1946,1980,0,0.16,1.38,x,NY
7,74,67,81,69,84,57,100,1892,1953,0,0.15,3.13,x,NY
7,73,64,81,69,84,57,101,1925,1953,0,0.15,1.76,x,NY
7,72,68,76,69,84,57,102,1924,1977,0,0.16,1.82,x,NY
7,72,66,78,69,84,55,101,1890,1980,0,0.15,1.97,x,NY
7,76,67,85,69,84,55,104,1890,1977,0,0.15,2.26,x,NY
7,79,71,86,69,84,55,104,1873,2011,0,0.14,1.86,x,NY
7,80,72,88,69,84,58,100,1890,2011,0.19,0.15,2.41,x,NY
7,75,70,80,69,84,56,97,1893,1999,0,0.15,3.75,x,NY
7,74,66,82,69,84,57,97,1953,1999,0,0.15,1.64,x,NY
7,75,69,81,69,84,55,98,1920,1940,0,0.16,3.8,x,NY
7,78,71,85,69,84,55,98,1920,1963,0.02,0.16,2.65,x,NY
7,75,68,82,69,84,57,97,1903,1999,0.19,0.17,3.11,x,NY
7,70,64,76,69,84,59,99,1914,1949,0,0.17,3.47,x,NY
7,72,63,80,69,84,57,98,1956,1988,0,0.17,3.56,x,NY
7,75,68,82,69,84,57,102,1914,1933,0,0.17,2.29,x,NY
8,78,71,84,69,84,59,100,1964,1933,0,0.16,2.85,x,NY
8,69,63,74,69,84,58,100,1924,1955,0.41,0.16,2.49,x,NY
8,71,66,76,69,84,55,97,1927,2005,0.07,0.17,2.71,x,NY
8,77,70,84,69,84,56,100,1886,1944,0,0.16,3.25,x,NY
8,81,71,90,69,84,56,101,1951,1944,0,0.16,1.44,x,NY
8,77,70,83,69,84,57,97,1994,1955,0,0.16,3.31,x,NY
8,75,66,83,69,84,57,104,1994,1918,0,0.15,2.18,x,NY
8,74,65,83,69,84,54,99,1903,2001,0,0.15,2.6,x,NY
8,77,66,87,69,84,57,103,1989,2001,0,0.15,4.1,x,NY
8,78,68,88,69,83,55,98,1879,1949,0,0.14,4.64,x,NY
8,79,71,87,69,83,56,102,1962,1944,0,0.14,2.39,x,NY
8,75,70,79,68,83,55,97,1889,1944,0.19,0.14,3.62,x,NY
8,75,68,82,68,83,55,99,1930,2005,0.53,0.14,2.7,x,NY
8,70,63,77,68,83,54,99,1964,1988,0,0.15,5.81,x,NY
8,67,61,73,68,83,54,97,1964,1988,0,0.14,1.52,x,NY
8,71,63,78,68,83,55,96,1880,1944,0,0.15,4.8,x,NY
8,74,66,82,68,83,56,95,1979,1944,0.01,0.14,2.86,x,NY
8,72,63,81,68,83,55,94,1915,2002,0,0.14,3.95,x,NY
8,73,63,83,68,83,55,94,1924,2002,0,0.15,2.53,x,NY
8,77,70,84,68,82,55,97,1949,1955,0,0.14,3.63,x,NY
8,74,65,83,68,82,53,96,1922,1955,0.35,0.15,4.19,x,NY
8,72,65,79,67,82,52,95,1895,1916,0.06,0.14,1.85,x,NY
8,72,67,77,67,82,51,92,1923,1916,0.01,0.14,3.03,x,NY
8,72,64,80,67,82,52,94,1890,1972,0,0.14,3.61,x,NY
8,76,64,88,67,82,52,95,1940,1948,0,0.14,1.86,x,NY
8,80,70,89,67,81,53,103,1887,1948,0,0.12,3.24,x,NY
8,80,70,90,67,81,50,101,1885,1948,0,0.13,4.16,x,NY
8,74,66,82,66,81,50,100,1885,1948,0,0.13,3.99,x,NY
8,71,61,80,66,81,50,99,1986,1953,0,0.12,2.68,x,NY
8,73,65,80,66,81,50,98,1965,1973,0,0.12,2.3,x,NY
8,82,73,90,66,80,50,100,1976,1953,0.62,0.12,3.76,x,NY
9,82,75,88,66,80,51,97,1872,1953,0,0.13,3.84,x,NY
9,85,77,92,65,80,51,102,1886,1953,0,0.13,2.12,x,NY
9,79,72,86,65,80,50,99,1893,1929,0,0.13,3.32,x,NY
9,78,69,87,65,79,47,97,1883,1929,0,0.14,3.48,x,NY
9,80,72,87,64,79,51,94,1963,1985,0,0.13,2.45,x,NY
9,79,67,91,64,79,48,97,1924,1881,0.11,0.13,3.26,x,NY
9,73,65,81,64,78,46,101,1888,1881,0,0.14,2.07,x,NY
9,70,65,75,64,78,54,93,1955,1919,0,0.13,4.86,x,NY
9,68,63,73,63,78,48,94,1883,1915,0,0.13,0.86,x,NY
9,72,63,80,63,77,43,97,1883,1983,0,0.13,1.38,x,NY
9,76,69,83,63,77,43,99,1917,1983,0,0.13,2.9,x,NY
